GEOID,NAME,B17001_001,B17001_002,B20004_001,B20004_002,B20004_003,B20004_004,B20004_005,B20004_006,B25014_001,B25014_002,B25014_003,B25014_004,B25014_005,B25014_006,B25014_007,B25014_008,B25014_009,B25014_010,B25014_011,B25014_012,B25014_013,B25064_001,B25071_001
00956,ZCTA5 00956,62747,24676,19396,10812,16534,17327,26521,31313,24607,17473,12202,5039,181,30,21,7134,4116,2805,151,23,39,563,36.3
00957,ZCTA5 00957,37951,12830,20643,15236,16607,18973,26435,33289,14300,10151,7565,2469,81,16,20,4149,2108,1872,100,41,28,539,36.7
00959,ZCTA5 00959,45977,13832,20708,13418,15754,18028,28255,35336,17685,11415,8048,3162,184,6,15,6270,3434,2578,194,51,13,602,33.1
00960,ZCTA5 00960,40,40,8873,10938,8512,8636,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
00961,ZCTA5 00961,28318,9023,21901,13596,15653,19351,29092,37083,11278,7279,5427,1804,32,0,16,3999,2340,1501,74,57,27,579,30.2
00962,ZCTA5 00962,19061,10358,18347,12436,16243,18839,24077,34875,6829,3802,2570,1128,94,0,10,3027,1606,1288,87,28,18,466,29.3
00965,ZCTA5 00965,6701,3509,17900,17717,16446,16860,21742,NA,2514,1502,1079,373,45,5,0,1012,608,352,22,17,13,421,39.3
00966,ZCTA5 00966,14827,2950,34357,15650,9590,19116,36578,58589,5841,4249,3352,845,0,38,14,1592,1166,377,49,0,0,797,31.3
00968,ZCTA5 00968,3448,579,43400,NA,10688,26693,43333,49440,1797,1198,1043,155,0,0,0,599,495,104,0,0,0,865,25.5
00969,ZCTA5 00969,41747,7437,30237,14336,16086,21395,31073,49618,14343,11048,7620,3231,81,96,20,3295,1893,1345,57,0,0,889,26.4
00971,ZCTA5 00971,25782,8805,18233,13866,16424,16667,32088,29904,8657,5782,3644,1970,137,31,0,2875,1532,1261,35,47,0,621,23.7
00976,ZCTA5 00976,58358,17732,22081,9742,16411,18721,29962,39104,21424,14454,9081,4930,353,80,10,6970,3704,2926,313,17,10,519,27.3
00979,ZCTA5 00979,16083,2852,26278,15768,17337,23435,36051,52050,8197,5358,3904,1393,12,38,11,2839,1701,1051,26,61,0,870,30.1
00982,ZCTA5 00982,14253,5602,20094,14138,19346,16183,22587,35643,5910,3994,2970,995,19,10,0,1916,1053,752,95,16,0,604,30.6
00983,ZCTA5 00983,33888,11674,20324,11761,16748,19220,24440,30438,13284,8956,5873,2894,173,16,0,4328,2427,1756,49,69,27,551,25.9
00985,ZCTA5 00985,31471,10656,19381,9336,15666,19611,23796,32300,12166,8538,5741,2630,127,30,10,3628,1771,1699,132,26,0,561,28.7
00987,ZCTA5 00987,53917,14987,24326,12673,18151,21482,28614,39421,20567,15351,9753,5274,207,107,10,5216,2987,2070,125,34,0,716,29.2
01001,ZCTA5 01001,16639,1416,49960,40588,35560,48145,57266,54447,7413,5408,4492,862,38,0,16,2005,1312,685,8,0,0,1148,32
01002,ZCTA5 01002,24832,6447,39268,21889,29143,26368,37386,66768,9798,4802,3985,745,18,20,34,4996,2573,2350,28,45,0,1380,39.7
01003,ZCTA5 01003,86,69,11184,NA,NA,NA,26500,NA,42,4,0,4,0,0,0,38,14,24,0,0,0,NA,NA
01005,ZCTA5 01005,4988,427,48490,NA,44715,45944,NA,73085,1944,1674,1382,277,15,0,0,270,163,93,0,14,0,965,23.2
01007,ZCTA5 01007,14927,907,56062,31597,44448,48291,59973,71513,5563,4531,3219,1255,14,0,43,1032,754,278,0,0,0,975,27.7
01008,ZCTA5 01008,1140,48,51439,41250,47880,50313,67679,78750,490,466,394,65,7,0,0,24,24,0,0,0,0,NA,NA
01009,ZCTA5 01009,261,67,40484,NA,NA,51250,40081,NA,114,84,73,11,0,0,0,30,30,0,0,0,0,NA,NA
01010,ZCTA5 01010,3631,210,48421,NA,39242,42313,63333,78000,1447,1274,1013,236,0,13,12,173,124,49,0,0,0,703,36.5
01011,ZCTA5 01011,1413,137,37500,14250,33487,39844,59375,63333,564,453,374,79,0,0,0,111,75,36,0,0,0,1040,51
01012,ZCTA5 01012,585,43,36912,NA,35469,34500,43250,52813,272,239,204,35,0,0,0,33,13,20,0,0,0,1257,46.3
01013,ZCTA5 01013,22076,4235,35298,21471,31776,33236,46012,52274,9140,4492,3344,1126,22,0,0,4648,2849,1613,74,81,31,878,33.2
01020,ZCTA5 01020,29957,2781,42147,33459,35666,40055,54464,63125,12798,8287,6362,1873,52,0,0,4511,3111,1386,14,0,0,956,26.7
01022,ZCTA5 01022,2586,546,41207,NA,37727,31146,43542,64808,1154,756,707,49,0,0,0,398,289,98,11,0,0,1517,37
01026,ZCTA5 01026,930,90,33393,NA,31250,35469,29750,36563,448,350,308,42,0,0,0,98,69,29,0,0,0,855,47.2
01027,ZCTA5 01027,17761,1533,43541,51875,39401,39745,50337,58891,7928,5044,3904,1127,13,0,0,2884,2179,668,3,34,0,1000,28.6
01028,ZCTA5 01028,15823,751,55727,37833,33813,48465,63690,69583,5958,4924,3748,1110,66,0,0,1034,781,253,0,0,0,945,32.5
01029,ZCTA5 01029,538,26,48969,NA,48250,NA,56250,63173,238,181,122,59,0,0,0,57,36,10,11,0,0,NA,31.4
01030,ZCTA5 01030,11335,803,51608,33529,40069,45641,63427,75299,4416,3555,2781,757,17,0,0,861,632,229,0,0,0,869,25.2
01031,ZCTA5 01031,1135,220,34449,NA,21528,41563,43333,NA,537,269,197,72,0,0,0,268,218,35,15,0,0,901,48
01032,ZCTA5 01032,495,39,44432,NA,42569,39861,61042,53750,234,212,186,26,0,0,0,22,21,1,0,0,0,1196,23.1
01033,ZCTA5 01033,6322,238,56546,31607,52701,42853,53377,66667,2603,2267,1879,371,17,0,0,336,322,14,0,0,0,843,42.4
01034,ZCTA5 01034,2164,190,48000,22188,39565,46397,68000,75000,855,792,637,155,0,0,0,63,48,15,0,0,0,1350,30
01035,ZCTA5 01035,5197,349,47279,NA,36150,28456,57118,59309,2294,1798,1571,227,0,0,0,496,368,123,5,0,0,1252,36.9
01036,ZCTA5 01036,5079,130,56651,32188,35296,54125,74239,71027,2000,1827,1413,414,0,0,0,173,139,34,0,0,0,1121,31
01037,ZCTA5 01037,645,54,45114,NA,42857,42656,61250,NA,238,205,190,15,0,0,0,33,33,0,0,0,0,NA,NA
01038,ZCTA5 01038,2734,122,52159,NA,37227,46780,63966,53500,1220,885,769,96,8,0,12,335,263,72,0,0,0,1088,30.8
01039,ZCTA5 01039,1207,47,46652,53036,27083,51806,37266,69375,543,398,339,59,0,0,0,145,118,27,0,0,0,1151,24.6
01040,ZCTA5 01040,39099,11471,38507,20013,33784,37175,44326,62285,15278,6214,4819,1314,15,8,58,9064,5228,3420,274,121,21,838,32
01050,ZCTA5 01050,2428,209,41912,40813,43333,39792,36161,57222,1067,883,747,131,5,0,0,184,134,50,0,0,0,959,23.2
01053,ZCTA5 01053,1328,312,43929,4375,NA,NA,61200,58971,565,428,380,48,0,0,0,137,117,20,0,0,0,976,41.9
01054,ZCTA5 01054,2001,131,42201,34688,41477,35729,37000,51333,766,679,536,140,3,0,0,87,56,31,0,0,0,1393,38.1
01056,ZCTA5 01056,20516,1777,49305,33188,40686,51336,55976,69141,7925,5778,4563,1208,0,7,0,2147,1404,697,46,0,0,1027,25
01057,ZCTA5 01057,8804,547,50480,30990,38333,51200,45125,77083,3526,2907,2354,534,19,0,0,619,522,68,0,0,29,865,31.1
01060,ZCTA5 01060,13522,1966,45021,20295,26917,37875,37946,62873,6556,2699,2260,437,2,0,0,3857,2822,960,37,38,0,1231,31.4
01062,ZCTA5 01062,10071,1129,44792,NA,28750,35256,46467,64951,4171,3140,2424,716,0,0,0,1031,651,365,15,0,0,940,31
01063,ZCTA5 01063,0,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA
01066,ZCTA5 01066,31,0,NA,NA,NA,NA,NA,NA,31,31,31,0,0,0,0,0,0,0,0,0,0,NA,NA
01068,ZCTA5 01068,1829,81,50417,30625,40625,47500,59063,70000,688,654,540,114,0,0,0,34,20,14,0,0,0,1153,24.2
01069,ZCTA5 01069,8403,638,42207,31094,37109,39721,43319,54375,3508,2702,2284,418,0,0,0,806,577,211,18,0,0,889,28
01070,ZCTA5 01070,648,44,37955,NA,36806,24861,45875,53036,296,242,207,32,0,3,0,54,32,16,0,0,6,800,31.6
01071,ZCTA5 01071,1318,75,47321,NA,40625,42083,48750,49583,526,477,381,96,0,0,0,49,14,35,0,0,0,950,25.8
01072,ZCTA5 01072,1471,129,52788,NA,35179,33750,40938,68500,630,569,503,59,3,0,4,61,42,16,3,0,0,1417,30
01073,ZCTA5 01073,6124,152,56328,NA,55640,30581,63602,77059,2406,2187,1747,396,44,0,0,219,203,16,0,0,0,903,21.6
01074,ZCTA5 01074,411,71,37930,NA,NA,NA,NA,NA,95,21,21,0,0,0,0,74,0,74,0,0,0,NA,NA
01075,ZCTA5 01075,15216,1462,44935,33185,40587,40756,51220,70313,6616,4810,3962,804,34,10,0,1806,1183,623,0,0,0,1013,31.6
01077,ZCTA5 01077,9648,741,52348,43750,43931,48100,53136,73456,3804,3094,2522,539,33,0,0,710,377,319,0,14,0,1105,33.9
01079,ZCTA5 01079,781,0,37764,NA,NA,NA,31286,NA,342,223,185,38,0,0,0,119,58,61,0,0,0,1609,42.6
01080,ZCTA5 01080,2709,674,40962,31023,38889,40515,46705,59100,918,481,341,122,0,0,18,437,230,156,30,21,0,957,30.5
01081,ZCTA5 01081,1862,106,40144,40625,37292,37778,53750,65096,756,621,428,185,8,0,0,135,90,45,0,0,0,827,29.2
01082,ZCTA5 01082,10544,1333,44690,20795,39968,45319,53804,71036,4587,3150,2618,492,17,14,9,1437,951,486,0,0,0,955,30.5
